식당명,음식,주소,gyung,wedo
달인명품호떡,호떡,전라북도 전주시 덕진구 인후동1가 849-10,127.165588561791,35.834524808103
한미반점,간짜장,전라북도 전주시 완산구 다가동3가 16,127.140797630138,35.8177658612701
삼번집,콩나물국밥,전라북도 전주시 완산구 전동 303-186,127.14796277546,35.8124556797203
노벨반점,물짜장,전라북도 전주시 완산구 전동3가 56-1,127.144258891435,35.8137702544312
육일식당,감자탕,전라북도 전주시 완산구 효자동1가 358-31,127.115343482297,35.8133271422671
양자강,짬뽕,전라북도 정읍시 수성동 668-1,126.857369586302,35.5666898646642
솜씨만두,만두,전라북도 정읍시 시기동 356-1,126.85590207808,35.564940773013
곰소궁횟집,젓갈백반,전북 부안군 진서면 곰소리 619,126.604740471256,35.5872669641595
금암우족탕,우족탕,전북 전주시 덕진구 금암1동 455-25,127.13570521832,35.8330752802155
삼양다방,다방,전북 전주시 완산구 경원동2가 7-9,127.148844244442,35.8182321225753
용진집막걸리,막걸리,전북 전주시 완산구 삼천동1가 623-5,127.122778741725,35.7972037643409
